Case,Definitions,Weight,Classification,Comments,Privacy Related?
30 days of notice are given before closing your account,"The Terms explain they will notify users at least 30 days before closing their accounts, which allows users to limit the losses and damages caused by this termination.",15,,"No classification on this is a bit strange. Would think ""good""?",0
A complaint mechanism is provided for the handling of personal data,The service provides users with contact information for an internal or external structure to lodge complaints. It also provides users with contact information for a higher data protection / privacy office in case the internal mechanism fails to satisfy the user.,30,good,"A bit tangential, but privacy related",1
A free help desk is provided,The service can be easily contacted for questions or provides a support center at no extra cost.,10,good,,0
A license is kept on user-generated content even after you close your account,The service may still use your content and display it after you stopped using it by closing your account. The case applies to terms requiring users to grant them a perpetual license over that content.,50,bad,Keeping user data for perpetuity seems privacy-related to me,1
A list of all cookies set by the website is provided,The service provides users with a complete list of all first and third party cookies its website sets and an explanation of their uses. This information can be valuable for users to make an informed choice whether to allow those cookies.,50,bad,"I don't see why this is ""bad"", sure the cookies exist, but this is just about the listing of the cookies",1
Accessibility to this service is guaranteed at 99% or more,,10,good,,0
Alternative accounts are not allowed,"Services that do not allow multiple or alternative accounts are covered by this case. Alternative accounts can contribute to an increased privacy, but can also be used to manipulate discussions and polls and might decrease the trustworthiness of a person.",30,neutral,,1
An anonymous payment method is offered,"Some services allow payments via cryptocurrencies, so that users don’t need to reveal their identity to payment processors.",20,good,anonymity language,1
An onion site accessible over Tor is provided,"Tor is a software for anonymous communication that directs Internet traffic through an overlay network. Onion sites are only available through Tor browser and provide additional security and anonymity to users.
",40,good,"Not sure I understand the tech here, but seems privacy related to me",1
Any liability on behalf of the service is only limited to the fees you paid as a user,,10,bad,"tangential, but if the service has a big privacy problem and a user gets doxxed, but the service is cheap, the user only gets 10$ or whatever",0
Archives of their agreements are provided so that changes can be viewed over time,"This case applies to Services whose agreements provide previous versions, so that users can compare them and understand how the Service seems to evolve regarding user rights.",50,good,,0
Blocking first party cookies may limit your ability to use the service,"Most browsers allow users to set preferences related to cookies storage. You may choose to block all cookies (including first-party cookies), but it may impact your use of this service and you may not be able to access some or any of the features provided.",50,neutral,,1
"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance","When you're not logged in to a service, but use it repeatedly, it may still feel weird that their terms and conditions can change between one use and the next. However, this does not violate the rule-of-thumb that each new version should be accepted from scratch, without inferring your acceptance from the acceptance of an earlier version. Since no acceptance is inferred from continued use, but only from current use, we rate this as neutral instead of bad.",50,neutral,depends what the changes are,0
